# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:48
# parameter: seed = 1896453
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      11.398,     2,Finish(1),before,   1,   0,   0,   1,   0
      11.398,     2,Finish(1), after,   2,   0,   0,   0,   1
      25.502,     3,Finish(2),before,   1,   0,   0,   0,   1
      25.502,     3,Finish(2), after,   1,   0,   0,   0,   0
      53.477,     1,  Arrival,before,   0,   0,   0,   0,   0
      53.477,     1,  Arrival, after,   2,   0,   0,   1,   0
      65.374,     5,Finish(1),before,   1,   0,   0,   1,   0
      65.374,     5,Finish(1), after,   2,   0,   0,   0,   1
      81.567,     4,  Arrival,before,   1,   0,   0,   0,   1
      81.567,     4,  Arrival, after,   3,   0,   0,   1,   1
      84.998,     6,Finish(2),before,   2,   0,   0,   1,   1
      84.998,     6,Finish(2), after,   2,   0,   0,   1,   0
      90.764,     8,Finish(1),before,   1,   0,   0,   1,   0
      90.764,     8,Finish(1), after,   2,   0,   0,   0,   1
     109.703,     9,Finish(2),before,   1,   0,   0,   0,   1
     109.703,     9,Finish(2), after,   1,   0,   0,   0,   0
     122.011,     7,  Arrival,before,   0,   0,   0,   0,   0
     122.011,     7,  Arrival, after,   2,   0,   0,   1,   0
     145.805,    10,  Arrival,before,   1,   0,   0,   1,   0
     145.805,    10,  Arrival, after,   2,   1,   0,   1,   0
     157.557,    11,Finish(1),before,   1,   1,   0,   1,   0
     157.557,    11,Finish(1), after,   3,   0,   0,   1,   1
     168.608,    13,Finish(1),before,   2,   0,   0,   1,   1
     168.608,    13,Finish(1), after,   2,   0,   1,   0,   1
     175.042,    14,Finish(2),before,   1,   0,   1,   0,   1
     175.042,    14,Finish(2), after,   2,   0,   0,   0,   1
     186.547,    15,Finish(2),before,   1,   0,   0,   0,   1
     186.547,    15,Finish(2), after,   1,   0,   0,   0,   0
     187.887,    12,  Arrival,before,   0,   0,   0,   0,   0
     187.887,    12,  Arrival, after,   2,   0,   0,   1,   0
     198.992,    17,Finish(1),before,   1,   0,   0,   1,   0
