# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:59
# parameter: seed = 1896592
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       1.470,     2,Finish(1),before,   1,   0,   0,   1,   0
       1.470,     2,Finish(1), after,   2,   0,   0,   0,   1
      16.423,     1,  Arrival,before,   1,   0,   0,   0,   1
      16.423,     1,  Arrival, after,   3,   0,   0,   1,   1
      20.428,     5,Finish(1),before,   2,   0,   0,   1,   1
      20.428,     5,Finish(1), after,   2,   0,   1,   0,   1
      20.871,     3,Finish(2),before,   1,   0,   1,   0,   1
      20.871,     3,Finish(2), after,   2,   0,   0,   0,   1
      32.075,     4,  Arrival,before,   1,   0,   0,   0,   1
      32.075,     4,  Arrival, after,   3,   0,   0,   1,   1
      36.104,     8,Finish(1),before,   2,   0,   0,   1,   1
      36.104,     8,Finish(1), after,   2,   0,   1,   0,   1
      38.876,     6,Finish(2),before,   1,   0,   1,   0,   1
      38.876,     6,Finish(2), after,   2,   0,   0,   0,   1
      55.942,     9,Finish(2),before,   1,   0,   0,   0,   1
      55.942,     9,Finish(2), after,   1,   0,   0,   0,   0
      65.477,     7,  Arrival,before,   0,   0,   0,   0,   0
      65.477,     7,  Arrival, after,   2,   0,   0,   1,   0
      73.594,    11,Finish(1),before,   1,   0,   0,   1,   0
      73.594,    11,Finish(1), after,   2,   0,   0,   0,   1
      90.725,    12,Finish(2),before,   1,   0,   0,   0,   1
      90.725,    12,Finish(2), after,   1,   0,   0,   0,   0
     109.945,    10,  Arrival,before,   0,   0,   0,   0,   0
     109.945,    10,  Arrival, after,   2,   0,   0,   1,   0
     117.481,    14,Finish(1),before,   1,   0,   0,   1,   0
     117.481,    14,Finish(1), after,   2,   0,   0,   0,   1
     126.538,    15,Finish(2),before,   1,   0,   0,   0,   1
     126.538,    15,Finish(2), after,   1,   0,   0,   0,   0
     148.922,    13,  Arrival,before,   0,   0,   0,   0,   0
     148.922,    13,  Arrival, after,   2,   0,   0,   1,   0
     154.226,    17,Finish(1),before,   1,   0,   0,   1,   0
