# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:59
# parameter: seed = 1896591
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       9.178,     2,Finish(1),before,   1,   0,   0,   1,   0
       9.178,     2,Finish(1), after,   2,   0,   0,   0,   1
      27.553,     3,Finish(2),before,   1,   0,   0,   0,   1
      27.553,     3,Finish(2), after,   1,   0,   0,   0,   0
      45.696,     1,  Arrival,before,   0,   0,   0,   0,   0
      45.696,     1,  Arrival, after,   2,   0,   0,   1,   0
      61.153,     5,Finish(1),before,   1,   0,   0,   1,   0
      61.153,     5,Finish(1), after,   2,   0,   0,   0,   1
      70.416,     4,  Arrival,before,   1,   0,   0,   0,   1
      70.416,     4,  Arrival, after,   3,   0,   0,   1,   1
      75.184,     8,Finish(1),before,   2,   0,   0,   1,   1
      75.184,     8,Finish(1), after,   2,   0,   1,   0,   1
      79.202,     6,Finish(2),before,   1,   0,   1,   0,   1
      79.202,     6,Finish(2), after,   2,   0,   0,   0,   1
      95.970,     9,Finish(2),before,   1,   0,   0,   0,   1
      95.970,     9,Finish(2), after,   1,   0,   0,   0,   0
     114.919,     7,  Arrival,before,   0,   0,   0,   0,   0
     114.919,     7,  Arrival, after,   2,   0,   0,   1,   0
     122.374,    11,Finish(1),before,   1,   0,   0,   1,   0
     122.374,    11,Finish(1), after,   2,   0,   0,   0,   1
     138.482,    12,Finish(2),before,   1,   0,   0,   0,   1
     138.482,    12,Finish(2), after,   1,   0,   0,   0,   0
     152.678,    10,  Arrival,before,   0,   0,   0,   0,   0
     152.678,    10,  Arrival, after,   2,   0,   0,   1,   0
     174.419,    14,Finish(1),before,   1,   0,   0,   1,   0
     174.419,    14,Finish(1), after,   2,   0,   0,   0,   1
     192.139,    15,Finish(2),before,   1,   0,   0,   0,   1
     192.139,    15,Finish(2), after,   1,   0,   0,   0,   0
     206.029,    13,  Arrival,before,   0,   0,   0,   0,   0
     206.029,    13,  Arrival, after,   2,   0,   0,   1,   0
     211.311,    17,Finish(1),before,   1,   0,   0,   1,   0
