# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:52
# parameter: seed = 1896503
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       8.417,     2,Finish(1),before,   1,   0,   0,   1,   0
       8.417,     2,Finish(1), after,   2,   0,   0,   0,   1
      25.239,     3,Finish(2),before,   1,   0,   0,   0,   1
      25.239,     3,Finish(2), after,   1,   0,   0,   0,   0
      29.788,     1,  Arrival,before,   0,   0,   0,   0,   0
      29.788,     1,  Arrival, after,   2,   0,   0,   1,   0
      33.416,     5,Finish(1),before,   1,   0,   0,   1,   0
      33.416,     5,Finish(1), after,   2,   0,   0,   0,   1
      50.464,     6,Finish(2),before,   1,   0,   0,   0,   1
      50.464,     6,Finish(2), after,   1,   0,   0,   0,   0
      84.483,     4,  Arrival,before,   0,   0,   0,   0,   0
      84.483,     4,  Arrival, after,   2,   0,   0,   1,   0
      97.876,     7,  Arrival,before,   1,   0,   0,   1,   0
      97.876,     7,  Arrival, after,   2,   1,   0,   1,   0
     111.622,     8,Finish(1),before,   1,   1,   0,   1,   0
     111.622,     8,Finish(1), after,   3,   0,   0,   1,   1
     114.493,    10,Finish(1),before,   2,   0,   0,   1,   1
     114.493,    10,Finish(1), after,   2,   0,   1,   0,   1
     120.998,     9,  Arrival,before,   1,   0,   1,   0,   1
     120.998,     9,  Arrival, after,   3,   0,   1,   1,   1
     122.862,    13,Finish(1),before,   2,   0,   1,   1,   1
     122.862,    13,Finish(1), after,   2,   0,   2,   0,   1
     128.439,    11,Finish(2),before,   1,   0,   2,   0,   1
     128.439,    11,Finish(2), after,   2,   0,   1,   0,   1
     143.539,    12,  Arrival,before,   1,   0,   1,   0,   1
     143.539,    12,  Arrival, after,   3,   0,   1,   1,   1
     145.393,    14,Finish(2),before,   2,   0,   1,   1,   1
     145.393,    14,Finish(2), after,   3,   0,   0,   1,   1
     154.754,    16,Finish(1),before,   2,   0,   0,   1,   1
     154.754,    16,Finish(1), after,   2,   0,   1,   0,   1
     163.055,    17,Finish(2),before,   1,   0,   1,   0,   1
